Rater	ID1_1_M_CMR13_DSC_0023	ID2_2_M_CMR13_DSC_0033	ID3_1_M_CMR13_DSC_0025	ID4_1_M_CMR13_DSC_0028	ID9_2_M_CMR13_DSC_0061	ID10_2_M_CMR13_DSC_0065	ID11_3_M_CMR13_DSC_0082	ID12_1_M_CMR13_DSC_0076	ID13_1_M_CMR13_DSC_0052	ID14_1_M_CMR13_DSC_0072	ID15_1_M_CMR13_DSC_0056	ID16_2_M_CMR13_DSC_0069	ID21_2_M_CMR13_DSC_0019-2	ID22_2_M_CMR13_DSC_0023	ID23_1_M_CMR13_DSC_0030	ID24_2_M_CMR13_DSC_0027	ID29_1_M_CMR13_DSC_0146	ID30_2_M_CMR13_DSC_0151	ID31_2_M_CMR13_DSC_0155	ID32_2_M_CMR13_DSC_0142	ID45_2_M_CMR13_DSC_0220	ID46_1_M_CMR13_DSC_0207	ID47_1_M_CMR13_DSC_0215	ID48_1_M_CMR13_DSC_0211	ID49_1_M_CMR13_DSC_0235	ID50_2_M_CMR13_DSC_0232	ID51_1_M_CMR13_DSC_0223	ID57_2_M_CMR13_DSC_0260	ID58_1_M_CMR13_DSC_0267	ID59_1_M_CMR13_DSC_0263	ID60_1_M_CMR13_DSC_0255	ID69_2_M_CMR13_DSC_0309	ID70_1_M_CMR13_DSC_0312	ID71_1_M_CMR13_DSC_0304	ID72_1_M_CMR13_DSC_0316	ID77_1_M_CMR13_DSC_DSC_0350	ID78_2_M_CMR13_DSC_DSC_0343	ID79_2_M_CMR13_DSC_DSC_0347	ID80_2_M_CMR13_DSC_0339	ID85_2_M_CMR13_DSC_0372	ID86_1_M_CMR13_DSC_0383	ID87_1_M_CMR13_DSC_0379	ID88_1_M_CMR13_DSC_0375	ID93_3_F_CMR13_DSC_0408	ID94_1_M_CMR13_DSC_0419	ID95_1_M_CMR13_DSC_0411	ID96_1_M_CMR13_DSC_0415	ID99_1_M_CMR13_DSC_0431	ID100_1_M_CMR13_DSC_0423
CMR1	4	6	7	3	5	5	4	2	4	3	4	NA	4	6	2	2	2	4	1	4	2	3	4	4	3	3	2	3	6	3	1	6	6	1	2	3	1	2	3	3	3	2	2	4	3	4	4	3	2
CMR2	2	7	6	2	4	6	2	4	5	2	4	2	5	4	4	2	2	2	1	4	3	2	2	5	2	2	4	1	4	4	4	4	4	2	2	1	2	2	2	2	3	5	2	5	2	5	2	1	1
CMR3	5	4	6	4	4	6	4	5	6	4	6	4	6	6	4	4	6	6	4	4	4	4	6	6	4	4	5	4	4	4	5	5	4	5	5	4	4	6	4	4	4	4	4	5	4	5	4	4	4
CMR4	4	7	7	2	4	7	6	4	4	2	6	4	4	7	6	2	4	2	2	4	2	4	6	7	2	4	4	2	5	6	4	6	7	4	4	2	2	4	4	4	4	2	2	7	6	4	4	6	4
CMR5	4	6	7	4	6	6	4	6	3	6	4	3	6	7	4	5	5	3	3	3	3	4	6	6	2	4	4	3	5	4	3	4	7	3	3	3	3	3	6	6	4	5	4	4	5	4	4	4	3
CMR6	4	5	4	3	4	6	3	4	4	4	5	5	4	3	3	3	3	3	3	4	3	5	4	7	4	4	7	6	4	4	3	4	6	3	3	4	2	3	4	4	4	5	5	3	4	3	3	5	4
CMR7	4	6	4	4	4	4	3	4	4	3	4	4	3	5	4	3	3	3	2	4	3	4	2	4	2	4	4	4	4	4	3	3	6	3	2	3	3	4	3	4	4	4	3	4	3	4	4	3	3
CMR8	2	6	4	4	6	7	2	4	4	4	4	2	4	4	4	6	6	2	4	5	6	3	4	4	4	4	4	4	4	4	4	6	6	2	5	2	2	4	4	3	2	2	3	7	3	2	4	2	2
CMR9	4	6	6	4	6	5	4	4	4	3	4	4	6	3	2	2	2	2	2	2	2	3	6	6	2	4	6	2	2	3	2	2	6	1	6	1	2	2	4	2	3	6	3	4	2	2	2	4	2
CMR10	3	5	6	2	4	5	4	2	3	2	4	2	3	5	3	2	3	3	2	2	2	5	4	5	2	2	3	4	3	5	2	5	4	2	3	2	2	3	2	4	2	3	3	2	2	4	2	2	3
